t,theta,omega,drive_force_c
30.47,-1.977748767581696,-1.3646290110603179,0.9444444444444444
30.48,-1.9913180813506326,-1.3492312903785812,0.9444444444444444
30.490000000000002,-2.004733349242778,-1.3338203072027095,0.9444444444444444
30.5,-2.017994447074119,-1.3183976304576817,0.9444444444444444
30.51,-2.0311012664896633,-1.30296476895018,0.9444444444444444
30.52,-2.044053712217729,-1.2875231752102276,0.9444444444444444
30.53,-2.056851704982137,-1.272074240497437,0.9444444444444444
30.54,-2.069495178145594,-1.2566193018153453,0.9444444444444444
30.55,-2.081984077470446,-1.2411596423673974,0.9444444444444444
30.560000000000002,-2.0943183611186433,-1.2256964915569841,0.9444444444444444
30.57,-2.10649799965176,-1.2102310249874266,0.9444444444444444
30.580000000000002,-2.118522976031001,-1.1947643644619594,0.9444444444444444
30.59,-2.1303932849761376,-1.179297579423533,0.9444444444444444
30.6,-2.142108929526589,-1.163831693842769,0.9444444444444444
30.61,-2.1536699243944097,-1.148367678416174,0.9444444444444444
30.62,-2.165076293162341,-1.132906458174633,0.9444444444444444
30.63,-2.176328067744114,-1.1174489137874064,0.9444444444444444
30.64,-2.1874252883844822,-1.1019958815620852,0.9444444444444444
30.650000000000002,-2.1983680036591933,-1.0865481534446297,0.9444444444444444
30.66,-2.209156270475001,-1.0711064770193532,0.9444444444444444
30.67,-2.219790154051805,-1.055671555557301,0.9444444444444444
30.68,-2.230269725249864,-1.040244054831832,0.9444444444444444
30.69,-2.240595061357235,-1.024824600093703,0.9444444444444444
30.7,-2.2507662462229674,-1.0094137769507914,0.9444444444444444
30.71,-2.260783368719594,-0.9940121358340215,0.9444444444444444
30.72,-2.270646522743103,-0.978620191997407,0.9444444444444444
30.73,-2.2803558072129664,-0.9632384255180083,0.9444444444444444
30.740000000000002,-2.2899113260721133,-0.9478672812959704,0.9444444444444444
30.75,-2.299313188286945,-0.9325071690545067,0.9444444444444444
30.76,-2.3085615066071186,-0.9171584669937682,0.9444444444444444
30.77,-2.3176563964721373,-0.9018215243091521,0.9444444444444444
30.78,-2.3265979774412684,-0.8864966576326165,0.9444444444444444
30.79,-2.3353863716142444,-0.8711841563751763,0.9444444444444444
30.8,-2.344021703610018,-0.8558842827934587,0.9444444444444444
30.810000000000002,-2.352504100566739,-0.840597271989742,0.9444444444444444
30.82,-2.360833692141766,-0.8253233319119386,0.9444444444444444
30.830000000000002,-2.3690106105114146,-0.8100626433544786,0.9444444444444444
30.84,-2.377034989180783,-0.7948153638655935,0.9444444444444444
30.85,-2.3849069627756947,-0.7795816278616738,0.9444444444444444
30.86,-2.3926266674641687,-0.7643615460060506,0.9444444444444444
30.87,-2.4001942400989504,-0.7491552084431892,0.9444444444444444
30.88,-2.407609818217487,-0.7339626847987337,0.9444444444444444
30.89,-2.414873540041952,-0.7187840241794631,0.9444444444444444
30.900000000000002,-2.4219855444792247,-0.7036192551733288,0.9444444444444444
30.91,-2.428945970974131,-0.688468386400598,0.9444444444444444
30.92,-2.4357549583236953,-0.6733314106270158,0.9444444444444444
30.93,-2.4424126454385244,-0.6582083018667403,0.9444444444444444
30.94,-2.448919170764098,-0.643099018259449,0.9444444444444444
30.95,-2.4552746721064693,-0.6280035027806551,0.9444444444444444
30.96,-2.4614792866322825,-0.6129216832416633,0.9444444444444444
30.970000000000002,-2.467533150868758,-0.5978534722896084,0.9444444444444444
30.98,-2.4734364006960914,-0.5827987674399612,0.9444444444444444
30.990000000000002,-2.479189170656104,-0.5677574538298508,0.9444444444444444
31.0,-2.484791593992941,-0.5527294037100253,0.9444444444444444
31.01,-2.4902438026661113,-0.5377144770291292,0.9444444444444444
31.02,-2.4955459270560114,-0.5227125228266405,0.9444444444444444
31.03,-2.5006980959639433,-0.5077233792328277,0.9444444444444444
31.04,-2.5057004366120967,-0.49274687346879364,0.9444444444444444
31.05,-2.5105530746435676,-0.47778282184643156,0.9444444444444444
31.060000000000002,-2.5152561337611217,-0.4628310313880453,0.9444444444444444
31.07,-2.5198097354953632,-0.44789130055541654,0.9444444444444444
31.080000000000002,-2.524213999407815,-0.4329634188079335,0.9444444444444444
31.09,-2.5284690428315,-0.4180471680430735,0.9444444444444444
31.1,-2.5325749808708475,-0.4031423225968819,0.9444444444444444
31.11,-2.536531926401681,-0.3882486492440135,0.9444444444444444
31.12,-2.540339990071229,-0.37336590719769114,0.9444444444444444
31.13,-2.543999280056271,-0.3584938493482869,0.9444444444444444
31.14,-2.547509901873144,-0.343632222946287,0.9444444444444444
31.150000000000002,-2.5508719585385613,-0.32878076923042815,0.9444444444444444
31.16,-2.5540855504110818,-0.31393922450718226,0.9444444444444444
31.17,-2.557150775191011,-0.2991073201513186,0.9444444444444444
31.18,-2.560067727920396,-0.2842847826059408,0.9444444444444444
31.19,-2.5628365009818572,-0.2694713333907347,0.9444444444444444
31.2,-2.565457183895369,-0.25466669033941697,0.9444444444444444
31.21,-2.567929863249502,-0.2398705677220736,0.9444444444444444
31.220000000000002,-2.5702546227809617,-0.22508267634060813,0.9444444444444444
